Date,SampleEvent_TreatmentUnit,SampleEvent_DefaultMonitoringStatus,MacroPlot Name,Species Symbol,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Visited,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1012,True,1,1,12,L,29.5,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1036,True,3,1,573,L,17.6,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,6,True,1,0.25,50,L,9.5,6,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1001,True,1,1,1,L,25,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,3,True,1,0.25,47,L,13.5,7,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1010,True,1,1,10,D,19,,,RS,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1026,True,2,1,26,L,47,,,C,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,16,True,1,0.25,60,D,7.5,5,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,9,True,1,0.25,53,L,9,7,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,10,True,1,0.25,54,L,10,5,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1044,True,4,1,731,L,49.7,,,I,,,,,,,,,,,,,,,,,0,0,0,FIRE,-1,TWIN,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1035,True,3,1,35,L,67.3,,,D,,,,,,,,,,,,,,,,,0,0,0,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1043,True,4,1,44,L,22.4,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1042,True,4,1,43,L,19.6,,,I,,,,,,,,,,,,,,,,,0,0,0,TWIN,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1039,True,4,1,39,D,23.7,,,RS,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,17,True,1,0.25,61,L,8,6,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1020,True,2,1,20,L,15.2,,,SC,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,12,True,1,0.25,56,L,9,5,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1017,True,1,1,569,L,30.2,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1004,True,1,1,4,L,22.4,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1006,True,1,1,6,L,21.5,,,I,,,,,,,,,,,,,,,,,0,0,0,FORK,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1019,True,2,1,19,L,18.9,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,13,True,1,0.25,57,D,7,5,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1016,True,1,1,16,L,15.6,,,I,,,,,,,,,,,,,,,,,0,0,0,LEAN,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1007,True,1,1,7,L,25.1,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,8,True,1,0.25,52,D,14,7,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,15,True,1,0.25,59,L,6,6,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1024,True,2,1,24,L,29.2,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1038,True,4,1,38,D,20.5,,,RS,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1033,True,3,1,33,L,70.2,,,D,,,,,,,,,,,,,,,,,0,0,0,LEAN,-1,FIRE,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1013,True,1,1,13,L,16.6,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
