ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0810,***,***,***,***,29.31,***,***,21.84,***,***,21.84,***,***,21.84,***,***,29.77,***,***,***,***,***,***,***,***,***,***,***,18.51,***,***,30.85,***,***,20.89,***,***,1.52,***,***,29.25,***,***,11.71,***,***,***,***,***,***,***,***,11.11,***,***,***,***,***,12.90,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0811,***,***,***,***,54.14,***,***,33.09,***,***,32.81,***,***,34.01,***,***,50.60,***,***,***,***,***,46.36,***,***,8.81,***,***,9.65,***,***,19.15,***,***,9.60,***,***,***,***,***,***,***,***,***,***,***,15.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0812,***,***,***,***,48.58,***,***,47.29,***,***,45.26,***,***,45.16,***,***,39.68,***,***,***,***,***,141.01,***,***,13.56,***,***,76.42,***,***,33.18,***,***,44.11,***,***,***,***,***,***,***,***,***,***,***,110.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0813,***,***,***,***,38.43,***,***,7.03,***,***,8.57,***,***,8.57,***,***,7.34,***,***,***,***,***,***,***,***,***,***,***,18.42,***,***,28.60,***,***,25.44,***,***,22.76,***,***,40.80,***,***,6.51,***,***,***,***,***,***,***,***,0.22,***,***,***,***,***,1.82,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0814,***,***,***,***,39.08,***,***,32.57,***,***,33.92,***,***,35.05,***,***,36.19,***,***,***,***,***,***,***,***,***,***,***,26.95,***,***,19.77,***,***,14.97,***,***,9.06,***,***,39.97,***,***,16.52,***,***,***,***,***,***,***,***,17.39,***,***,***,***,***,***,***,***,***,***,***,16.40,***,***,***,***,***
FABCO1T0816,***,***,***,***,16.35,***,***,4.15,***,***,7.55,***,***,3.03,***,***,11.23,***,***,11.59,***,***,***,***,***,***,***,***,4.37,***,***,9.25,***,***,15.91,***,***,20.39,***,***,27.33,***,***,***,***,***,***,***,***,***,***,***,5.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0817,***,***,***,***,11.36,***,***,9.63,***,***,0.97,***,***,0.38,***,***,12.87,***,***,11.61,***,***,***,***,***,***,***,***,26.67,***,***,32.62,***,***,33.80,***,***,41.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0818,***,***,***,***,1.09,***,***,1.14,***,***,0.00,***,***,5.08,***,***,6.33,***,***,5.87,***,***,***,***,***,***,***,***,7.04,***,***,8.66,***,***,6.79,***,***,12.01,***,***,7.54,***,***,***,***,***,***,***,***,***,***,***,9.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0819,***,***,***,***,0.46,***,***,0.84,***,***,0.84,***,***,0.58,***,***,2.32,***,***,6.38,***,***,***,***,***,***,***,***,0.68,***,***,17.67,***,***,3.64,***,***,6.30,***,***,1.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0822,***,***,***,***,1.31,***,***,***,***,***,1.66,***,***,1.35,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.57,***,***,4.53,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0823,***,***,***,***,4.91,***,***,***,***,***,2.66,***,***,2.62,***,***,1.12,***,***,***,***,***,***,***,***,***,***,***,0.58,***,***,3.58,***,***,0.50,***,***,2.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0825,***,***,***,***,1.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0826,***,***,***,***,3.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0827,***,***,***,***,5.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,7.81,12.05,-4.24,-54.24,16.76,-8.95,-114.58,13.72,-5.91,-75.59,13.03,-5.22,-66.76,11.81,-4.00,-51.23,16.44,-8.63,-110.46,8.86,-1.05,-13.43,65.58,-57.77,-739.49,11.39,-3.58,-45.79,14.30,-6.49,-83.09,13.17,-5.36,-68.59,13.57,-5.76,-73.68,10.78,-2.97,-37.96,20.65,-12.84,-164.33,11.58,-3.77,-48.25,45.03,-37.21,-476.34,4.04,3.78,48.32,6.75,1.07,13.65,0.47,7.34,93.96,7.36,0.45,5.75,1.55,6.26,80.10,16.40,-8.59,-109.94,6.08,1.73,22.15
