ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0810,***,***,***,***,3.03,***,***,2.12,***,***,3.33,***,***,1.82,***,***,3.33,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,0.91,***,***,0.91,***,***,1.82,***,***,4.24,***,***,0.30,***,***,***,***,***,***,***,***,0.30,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0811,***,***,***,***,6.67,***,***,0.91,***,***,0.92,***,***,1.52,***,***,1.84,***,***,***,***,***,2.44,***,***,4.27,***,***,0.00,***,***,1.53,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0812,***,***,***,***,4.92,***,***,0.91,***,***,1.54,***,***,3.09,***,***,3.73,***,***,***,***,***,6.15,***,***,8.61,***,***,0.00,***,***,0.00,***,***,1.85,***,***,***,***,***,***,***,***,***,***,***,6.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0813,***,***,***,***,0.61,***,***,0.61,***,***,0.92,***,***,0.92,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,1.22,***,***,1.22,***,***,1.83,***,***,1.22,***,***,2.44,***,***,1.22,***,***,***,***,***,***,***,***,0.09,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0814,***,***,***,***,3.68,***,***,0.92,***,***,0.31,***,***,1.53,***,***,1.23,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,0.92,***,***,0.31,***,***,1.85,***,***,3.08,***,***,0.61,***,***,***,***,***,***,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***
FABCO1T0816,***,***,***,***,1.51,***,***,0.00,***,***,1.21,***,***,1.51,***,***,1.21,***,***,1.51,***,***,***,***,***,***,***,***,0.00,***,***,1.21,***,***,0.30,***,***,1.21,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0817,***,***,***,***,1.82,***,***,0.30,***,***,1.83,***,***,0.91,***,***,1.82,***,***,10.30,***,***,***,***,***,***,***,***,0.61,***,***,2.43,***,***,2.13,***,***,3.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0818,***,***,***,***,4.84,***,***,0.30,***,***,0.91,***,***,2.12,***,***,2.73,***,***,3.94,***,***,***,***,***,***,***,***,1.51,***,***,2.12,***,***,0.91,***,***,0.91,***,***,5.76,***,***,***,***,***,***,***,***,***,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0819,***,***,***,***,1.51,***,***,0.00,***,***,0.61,***,***,0.61,***,***,0.91,***,***,2.72,***,***,***,***,***,***,***,***,0.30,***,***,3.33,***,***,1.51,***,***,1.51,***,***,2.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0822,***,***,***,***,0.30,***,***,***,***,***,0.31,***,***,0.31,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.61,***,***,0.61,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0823,***,***,***,***,1.53,***,***,***,***,***,2.74,***,***,3.36,***,***,2.44,***,***,***,***,***,***,***,***,***,***,***,3.05,***,***,1.22,***,***,2.14,***,***,1.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0825,***,***,***,***,5.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0826,***,***,***,***,4.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0827,***,***,***,***,5.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.26,3.61,-1.35,-60.07,3.53,-1.28,-56.54,0.76,1.50,66.46,1.80,0.46,20.23,1.72,0.54,23.85,1.71,0.55,24.34,4.62,-2.36,-104.84,3.18,-0.92,-40.79,5.30,-3.05,-135.08,0.59,1.67,73.92,1.13,1.13,50.01,1.14,1.12,49.63,1.55,0.71,31.41,4.19,-1.93,-85.76,0.71,1.54,68.37,3.49,-1.23,-54.62,0.00,2.26,100.00,0.66,1.60,70.88,0.61,1.65,73.17,0.15,2.10,93.24,3.33,-1.07,-47.62,0.00,2.26,100.00,0.45,1.80,79.83
