ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_11,5.12,1.97,-3.14,-61.46,7.64,2.52,49.27,10.88,5.76,112.68,0.90,-4.22,-82.44,0.97,-4.14,-80.98,***,***,***,2.25,-2.87,-56.10,0.15,-4.97,-97.07,0.00,-5.12,-100.00,1.25,-3.87,-75.61
B_FPIPO3T02_12,2.65,0.80,-1.85,-69.81,1.12,-1.52,-57.55,3.32,0.67,25.47,1.15,-1.50,-56.60,0.17,-2.47,-93.40,***,***,***,0.82,-1.82,-68.87,0.00,-2.65,-100.00,0.05,-2.60,-98.11,0.77,-1.87,-70.75
B_FPIPO3T02_13,13.40,1.80,-11.60,-86.59,3.32,-10.08,-75.23,1.57,-11.83,-88.27,2.82,-10.58,-78.96,0.25,-13.15,-98.14,***,***,***,0.85,-12.55,-93.67,0.75,-12.65,-94.41,0.32,-13.08,-97.58,0.77,-12.63,-94.23
B_FPIPO3T02_14,2.42,3.07,0.65,26.80,1.90,-0.52,-21.65,1.62,-0.80,-32.99,4.34,1.92,79.38,0.17,-2.25,-92.78,***,***,***,0.57,-1.85,-76.29,0.00,-2.42,-100.00,1.15,-1.27,-52.58,1.07,-1.35,-55.67
B_FPIPO3T02_15,4.27,3.59,-0.67,-15.79,0.52,-3.74,-87.72,0.95,-3.32,-77.78,0.30,-3.97,-92.98,0.05,-4.22,-98.83,0.02,-4.24,-99.42,2.50,-1.77,-41.52,0.00,-4.27,-100.00,0.00,-4.27,-100.00,0.27,-3.99,-93.57
B_FPIPO3T02_16,1.02,0.72,-0.30,-29.27,0.87,-0.15,-14.63,0.05,-0.97,-95.12,0.20,-0.82,-80.49,0.05,-0.97,-95.12,0.15,-0.87,-85.37,0.40,-0.62,-60.98,0.00,-1.02,-100.00,0.00,-1.02,-100.00,0.17,-0.85,-82.93
B_FPIPO3T02_17,0.72,2.25,1.52,210.34,0.22,-0.50,-68.97,0.00,-0.72,-100.00,0.00,-0.72,-100.00,0.00,-0.72,-100.00,0.02,-0.70,-96.55,0.07,-0.65,-89.66,0.00,-0.72,-100.00,0.00,-0.72,-100.00,0.22,-0.50,-68.97
B_FPIPO3T02_18,2.72,3.59,0.87,32.11,1.35,-1.37,-50.46,0.12,-2.60,-95.41,2.27,-0.45,-16.51,0.67,-2.05,-75.23,0.47,-2.25,-82.57,0.97,-1.75,-64.22,0.00,-2.72,-100.00,0.00,-2.72,-100.00,0.90,-1.82,-66.97
B_FPIPO3T02_19,0.85,1.17,0.32,38.24,0.57,-0.27,-32.35,0.10,-0.75,-88.24,0.17,-0.67,-79.41,0.17,-0.67,-79.41,0.35,-0.50,-58.82,0.72,-0.12,-14.71,0.00,-0.85,-100.00,0.07,-0.77,-91.18,1.32,0.47,55.88
Mean,3.43,2.31,1.12,32.69,1.63,1.80,52.56,2.18,1.25,36.38,1.61,1.82,52.98,0.26,3.18,92.54,0.20,3.23,94.04,1.04,2.39,69.70,0.05,3.39,98.62,0.66,2.78,80.87,1.00,2.44,70.93
