ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_11,0.11,0.04,-0.07,-62.97,0.05,-0.06,-55.77,0.03,-0.08,-74.32,0.00,-0.11,-100.00,0.03,-0.08,-74.32,***,***,***,0.03,-0.08,-70.22,0.00,-0.11,-100.00,0.06,-0.05,-44.67,0.00,-0.11,-100.00
B_FPIPO3T02_12,0.03,0.00,-0.03,-87.48,0.03,0.00,-12.48,0.02,-0.02,-50.00,0.00,-0.03,-87.48,0.02,-0.02,-49.97,***,***,***,0.00,-0.03,-87.52,0.00,-0.03,-100.00,0.00,-0.03,-100.00,0.01,-0.02,-74.97
B_FPIPO3T02_13,0.04,0.05,0.01,29.85,0.04,0.00,-0.28,0.01,-0.03,-69.98,0.02,-0.02,-39.80,0.02,-0.02,-59.98,***,***,***,0.02,-0.02,-59.82,0.01,-0.03,-69.98,0.01,-0.03,-69.99,0.05,0.01,29.23
B_FPIPO3T02_14,0.12,0.07,-0.05,-40.00,0.00,-0.12,-100.00,0.00,-0.12,-96.67,0.00,-0.12,-96.67,0.01,-0.11,-93.34,***,***,***,0.15,0.03,26.77,0.01,-0.11,-93.34,0.00,-0.12,-96.68,0.00,-0.12,-100.00
B_FPIPO3T02_15,0.03,0.03,0.00,0.10,0.01,-0.02,-57.16,0.03,0.00,14.59,0.08,0.05,171.69,0.13,0.10,372.37,0.01,-0.02,-57.29,0.06,0.03,100.44,0.00,-0.03,-100.00,0.05,0.02,71.65,0.00,-0.02,-85.79
B_FPIPO3T02_16,0.09,0.00,-0.08,-95.44,0.00,-0.09,-100.00,0.01,-0.08,-86.38,0.06,-0.02,-27.17,0.04,-0.05,-54.54,0.03,-0.06,-63.60,0.02,-0.07,-77.19,0.01,-0.08,-86.36,0.05,-0.04,-40.94,0.00,-0.08,-95.44
B_FPIPO3T02_17,0.02,0.02,0.00,25.01,0.01,0.00,-25.12,0.02,0.00,0.25,0.08,0.06,375.23,0.02,0.01,50.22,0.00,-0.02,-100.00,0.01,-0.01,-50.00,0.00,-0.02,-100.00,0.04,0.03,175.10,0.01,0.00,-24.89
B_FPIPO3T02_18,0.06,0.06,0.00,0.15,0.08,0.02,39.92,0.07,0.01,19.97,0.08,0.02,33.47,0.07,0.01,20.09,0.05,-0.01,-13.36,0.12,0.06,93.13,0.00,-0.06,-93.37,0.04,-0.02,-33.35,0.05,-0.01,-13.26
B_FPIPO3T02_19,0.04,0.02,-0.02,-54.50,0.02,-0.03,-63.61,0.01,-0.03,-72.59,0.08,0.04,82.31,0.03,-0.01,-27.12,0.04,-0.01,-18.14,0.24,0.19,437.35,0.03,-0.02,-36.10,0.09,0.05,109.48,0.02,-0.03,-63.61
Mean,0.06,0.04,0.02,39.32,0.03,0.03,51.35,0.02,0.04,63.85,0.03,0.03,48.95,0.03,0.03,49.97,0.03,0.04,57.60,0.06,0.00,-0.44,0.01,0.05,80.41,0.03,0.04,58.75,0.02,0.04,71.96
