ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_11,2.48,0.31,-2.17,-87.65,0.61,-1.87,-75.44,0.30,-2.18,-87.79,0.00,-2.48,-100.00,0.30,-2.18,-87.79,***,***,***,0.00,-2.48,-100.00,0.00,-2.48,-100.00,0.00,-2.48,-100.00,0.00,-2.48,-100.00
B_FPIPO3T02_12,0.00,0.61,0.61,***,0.30,0.30,***,0.30,0.30,***,0.61,0.61,***,0.61,0.61,***,***,***,***,0.30,0.30,***,0.00,0.00,0.00,0.61,0.61,***,0.00,0.00,0.00
B_FPIPO3T02_13,0.91,1.83,0.92,100.59,1.82,0.91,99.91,1.53,0.62,67.91,1.22,0.31,33.57,0.00,-0.91,-100.00,***,***,***,0.00,-0.91,-100.00,0.61,-0.30,-33.35,0.00,-0.91,-100.00,0.00,-0.91,-100.00
B_FPIPO3T02_14,0.00,0.30,0.30,***,0.30,0.30,***,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.91,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B_FPIPO3T02_15,1.22,0.30,-0.91,-75.00,0.00,-1.22,-100.00,0.00,-1.22,-100.00,0.00,-1.22,-100.00,0.00,-1.22,-100.00,0.61,-0.61,-50.35,0.30,-0.91,-75.00,0.00,-1.22,-100.00,0.00,-1.22,-100.00,0.00,-1.22,-100.00
B_FPIPO3T02_16,2.12,1.21,-0.91,-42.86,1.21,-0.91,-42.86,0.91,-1.21,-57.14,0.30,-1.82,-85.71,0.30,-1.82,-85.71,0.91,-1.21,-57.01,0.61,-1.51,-71.43,0.30,-1.82,-85.71,0.30,-1.82,-85.71,0.61,-1.51,-71.43
B_FPIPO3T02_17,1.22,0.91,-0.31,-25.08,0.91,-0.31,-25.28,0.00,-1.22,-100.00,0.00,-1.22,-100.00,0.31,-0.91,-74.96,0.00,-1.22,-100.00,0.31,-0.91,-74.96,0.00,-1.22,-100.00,0.31,-0.91,-74.96,0.00,-1.22,-100.00
B_FPIPO3T02_18,0.91,0.31,-0.61,-66.64,0.00,-0.91,-100.00,0.00,-0.91,-100.00,0.00,-0.91,-100.00,0.00,-0.91,-100.00,0.00,-0.91,-100.00,0.31,-0.61,-66.64,0.00,-0.91,-100.00,0.00,-0.91,-100.00,0.00,-0.91,-100.00
B_FPIPO3T02_19,0.31,0.91,0.61,199.41,0.91,0.61,199.41,0.31,0.00,0.00,0.00,-0.31,-100.00,0.30,0.00,-0.59,0.31,0.00,0.27,0.00,-0.31,-100.00,0.00,-0.31,-100.00,0.00,-0.31,-100.00,0.00,-0.31,-100.00
Mean,1.07,0.71,0.36,33.98,0.61,0.47,43.44,0.40,0.67,62.77,0.38,0.69,64.28,0.43,0.64,59.79,0.36,0.71,66.06,0.26,0.82,76.17,0.18,0.90,83.65,0.21,0.87,80.64,0.24,0.83,77.66
