ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIPO 25,12.07,***,***,***,***,***,***,***,***,***,9.67,-2.41,-19.93,1.33,-10.74,-88.97,2.49,-9.58,-79.36,1.29,-10.79,-89.32,0.86,-11.22,-92.88,4.08,-7.99,-66.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 27,11.52,7.86,-3.65,-31.72,***,***,***,***,***,***,3.09,-8.42,-73.13,2.79,-8.72,-75.75,1.76,-9.75,-84.70,3.09,-8.42,-73.13,5.16,-6.36,-55.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 28,7.00,***,***,***,***,***,***,***,***,***,3.95,-3.05,-43.56,3.18,-3.82,-54.60,0.90,-6.10,-87.12,1.16,-5.84,-83.44,0.00,-7.00,-100.00,3.09,-3.91,-55.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 29,10.70,10.10,-0.60,-5.62,12.50,1.80,16.87,***,***,***,16.03,5.33,49.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 30,15.68,***,***,***,***,***,***,***,***,***,11.60,-4.08,-26.03,2.88,-12.81,-81.64,0.60,-15.08,-96.16,3.09,-12.59,-80.27,0.73,-14.95,-95.34,2.71,-12.98,-82.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 32,2.88,***,***,***,***,***,***,***,***,***,3.57,0.69,23.88,0.21,-2.66,-92.54,3.65,0.77,26.87,1.63,-1.25,-43.28,0.47,-2.41,-83.58,2.49,-0.39,-13.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 34,17.19,15.04,-2.15,-12.50,***,***,***,***,***,***,13.32,-3.87,-22.50,10.66,-6.53,-38.00,7.61,-9.58,-55.75,4.25,-12.93,-75.25,11.77,-5.41,-31.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 01,***,***,***,***,***,***,***,***,***,***,19.32,***,***,2.12,***,***,2.56,***,***,3.18,***,***,3.22,***,***,8.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 07,***,***,***,***,***,***,***,***,***,***,11.25,***,***,3.22,***,***,5.34,***,***,2.56,***,***,6.79,***,***,4.41,***,***,***,***,***,3.44,***,***,1.41,***,***,2.60,***,***,3.62,***,***,14.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 08,***,***,***,***,***,***,***,***,***,***,8.20,***,***,6.53,***,***,5.65,***,***,5.20,***,***,4.98,***,***,7.54,***,***,16.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 10,***,***,***,***,***,***,***,***,***,***,30.08,***,***,15.61,***,***,9.92,***,***,9.57,***,***,7.41,***,***,6.17,***,***,37.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 12,***,***,***,***,***,***,***,***,***,***,10.63,***,***,14.03,***,***,7.37,***,***,12.57,***,***,***,***,***,***,***,***,***,***,***,6.66,***,***,14.29,***,***,10.19,***,***,12.79,***,***,20.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 21,***,***,***,***,***,***,***,***,***,***,13.14,***,***,0.97,***,***,0.62,***,***,0.97,***,***,1.81,***,***,8.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 22,***,***,***,***,***,***,***,***,***,***,5.78,***,***,4.63,***,***,11.16,***,***,5.42,***,***,3.31,***,***,7.37,***,***,10.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 24,***,***,***,***,***,***,***,***,***,***,7.37,***,***,3.79,***,***,1.59,***,***,1.94,***,***,5.87,***,***,4.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 25,***,***,***,***,***,***,***,***,***,***,12.66,***,***,7.63,***,***,7.01,***,***,3.04,***,***,12.53,***,***,8.82,***,***,***,***,***,0.66,***,***,1.85,***,***,1.81,***,***,2.82,***,***,8.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 01,***,***,***,***,***,***,***,***,***,***,11.55,***,***,12.40,***,***,2.56,***,***,12.52,***,***,12.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 02,***,***,***,***,***,***,***,***,***,***,8.08,***,***,8.71,***,***,4.10,***,***,3.36,***,***,1.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 03,***,***,***,***,***,***,***,***,***,***,7.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 04,***,***,***,***,***,***,***,***,***,***,14.17,***,***,11.27,***,***,4.44,***,***,10.30,***,***,4.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 05,***,***,***,***,***,***,***,***,***,***,4.78,***,***,5.01,***,***,1.93,***,***,3.53,***,***,2.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 06,***,***,***,***,***,***,***,***,***,***,2.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 07,***,***,***,***,***,***,***,***,***,***,4.61,***,***,3.93,***,***,0.63,***,***,2.11,***,***,2.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 08,***,***,***,***,***,***,***,***,***,***,6.88,***,***,3.30,***,***,7.17,***,***,2.79,***,***,4.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 09,***,***,***,***,***,***,***,***,***,***,3.76,***,***,3.41,***,***,3.19,***,***,2.62,***,***,2.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 10,***,***,***,***,***,***,***,***,***,***,9.79,***,***,2.11,***,***,2.85,***,***,7.11,***,***,0.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 11,***,***,***,***,***,***,***,***,***,***,6.32,***,***,5.92,***,***,14.91,***,***,8.99,***,***,5.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 12,***,***,***,***,***,***,***,***,***,***,5.23,***,***,3.76,***,***,***,***,***,2.96,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 13,***,***,***,***,***,***,***,***,***,***,1.25,***,***,1.25,***,***,2.28,***,***,6.71,***,***,1.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 14,***,***,***,***,***,***,***,***,***,***,2.79,***,***,2.79,***,***,1.76,***,***,2.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIED 15,***,***,***,***,***,***,***,***,***,***,10.30,***,***,10.36,***,***,2.85,***,***,1.02,***,***,4.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 01,***,***,***,***,***,***,***,***,***,***,49.15,***,***,0.00,***,***,2.35,***,***,0.84,***,***,4.62,***,***,3.58,***,***,***,***,***,0.52,***,***,0.08,***,***,0.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 03,***,***,***,***,***,***,***,***,***,***,15.56,***,***,10.82,***,***,13.97,***,***,7.40,***,***,7.64,***,***,26.42,***,***,***,***,***,0.00,***,***,0.00,***,***,0.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 11,***,***,***,***,***,***,***,***,***,***,29.61,***,***,***,***,***,***,***,***,***,***,***,12.50,***,***,11.14,***,***,***,***,***,1.87,***,***,1.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 12,***,***,***,***,***,***,***,***,***,***,31.80,***,***,6.61,***,***,6.13,***,***,0.76,***,***,2.98,***,***,8.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 15,***,***,***,***,***,***,***,***,***,***,31.72,***,***,1.95,***,***,5.81,***,***,2.11,***,***,2.03,***,***,9.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
