ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 16,2.12,***,***,***,***,***,***,***,***,***,2.00,-0.12,-5.65,1.27,-0.85,-40.04,0.44,-1.68,-79.37,0.00,-2.12,-100.00,4.84,2.73,128.80,***,***,***,***,***,***,0.66,-1.46,-69.05,0.53,-1.58,-74.87,1.46,-0.65,-30.79,5.59,3.47,164.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 17,7.61,***,***,***,***,***,***,***,***,***,13.29,5.68,74.67,1.37,-6.24,-82.03,0.53,-7.08,-93.05,0.86,-6.75,-88.75,0.86,-6.75,-88.75,***,***,***,***,***,***,0.00,-7.61,-100.00,0.00,-7.61,-100.00,2.41,-5.20,-68.39,4.53,-3.08,-40.49,***,***,***,0.00,-7.61,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 18,4.29,***,***,***,***,***,***,***,***,***,9.45,5.15,120.02,0.86,-3.44,-80.05,0.63,-3.67,-85.35,0.43,-3.87,-90.03,0.00,-4.29,-100.00,***,***,***,***,***,***,0.00,-4.29,-100.00,1.42,-2.88,-67.03,0.00,-4.29,-100.00,0.00,-4.29,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 19,0.39,***,***,***,***,***,***,***,***,***,0.28,-0.11,-28.83,0.21,-0.18,-45.56,1.32,0.93,236.45,0.44,0.04,11.20,5.40,5.00,1273.53,***,***,***,***,***,***,1.47,1.08,275.23,2.14,1.75,444.27,9.03,8.64,2199.61,3.95,3.56,906.31,***,***,***,17.72,17.33,4410.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 20,1.17,***,***,***,***,***,***,***,***,***,8.19,7.02,598.13,0.00,-1.17,-100.00,0.00,-1.17,-100.00,0.49,-0.68,-57.91,0.57,-0.61,-51.62,***,***,***,***,***,***,0.21,-0.96,-81.74,0.00,-1.17,-100.00,0.00,-1.17,-100.00,3.95,2.77,236.52,***,***,***,3.38,2.21,188.14,3.81,2.63,224.51,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 23,0.74,0.00,-0.74,-100.00,16.18,15.44,2087.57,11.47,10.73,1450.19,11.55,10.81,1461.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 26,6.41,***,***,***,***,***,***,***,***,***,9.75,3.34,52.21,6.79,0.39,6.06,4.83,-1.58,-24.64,2.83,-3.58,-55.82,6.11,-0.29,-4.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 27,8.55,8.21,-0.33,-3.89,***,***,***,***,***,***,12.84,4.29,50.23,11.28,2.73,31.93,5.67,-2.87,-33.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 02,17.09,0.35,-16.74,-97.93,0.35,-16.74,-97.93,0.38,-16.71,-97.75,2.34,-14.75,-86.30,1.55,-15.54,-90.92,1.89,-15.20,-88.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 04,9.07,1.09,-7.97,-87.94,15.32,6.25,68.96,10.29,1.22,13.49,19.60,10.53,116.16,3.42,-5.65,-62.32,2.98,-6.09,-67.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 10,11.65,11.31,-0.34,-2.89,13.05,1.40,12.05,***,***,***,16.35,4.70,40.36,15.84,4.19,36.01,20.51,8.87,76.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 13,18.97,13.47,-5.50,-28.99,***,***,***,***,***,***,17.46,-1.52,-8.00,2.53,-16.44,-86.66,6.55,-12.42,-65.48,6.90,-12.07,-63.61,6.06,-12.91,-68.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 14,23.78,15.97,-7.81,-32.86,***,***,***,***,***,***,21.71,-2.07,-8.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 16,19.72,19.39,-0.32,-1.64,12.19,-7.52,-38.14,***,***,***,18.01,-1.71,-8.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 17,20.79,16.11,-4.69,-22.53,***,***,***,***,***,***,12.93,-7.87,-37.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 11,1.85,6.11,4.26,229.95,***,***,***,***,***,***,4.21,2.36,127.59,3.93,2.08,112.26,3.93,2.08,112.26,0.00,-1.85,-100.00,14.32,12.47,673.58,18.58,16.73,903.77,***,***,***,0.49,-1.36,-73.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 14,12.01,***,***,***,***,***,***,***,***,***,5.49,-6.52,-54.28,0.22,-11.80,-98.21,0.74,-11.27,-93.82,0.00,-12.01,-100.00,0.00,-12.01,-100.00,12.54,0.52,4.33,***,***,***,6.64,-5.38,-44.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 23,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 24,1.15,***,***,***,***,***,***,***,***,***,1.58,0.43,37.25,0.00,-1.15,-100.00,0.00,-1.15,-100.00,0.00,-1.15,-100.00,1.37,0.22,18.91,0.53,-0.62,-54.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 25,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 30,4.76,***,***,***,***,***,***,***,***,***,1.09,-3.66,-77.04,0.00,-4.76,-100.00,0.00,-4.76,-100.00,0.00,-4.76,-100.00,0.00,-4.76,-100.00,0.21,-4.54,-95.50,***,***,***,0.00,-4.76,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
