ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIEN 16,1.82,7.42,5.60,307.28,0.54,-1.28,-70.35,***,***,***,3.93,2.11,115.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 17,1.68,12.68,11.00,656.98,***,***,***,***,***,***,6.36,4.69,279.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 11,26.23,49.24,23.01,87.70,***,***,***,***,***,***,48.56,22.33,85.11,12.96,-13.27,-50.60,16.47,-9.76,-37.21,23.08,-3.15,-12.01,2.21,-24.03,-91.59,2.26,-23.97,-91.38,***,***,***,5.56,-20.67,-78.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 14,6.71,***,***,***,***,***,***,***,***,***,0.47,-6.23,-92.98,1.31,-5.39,-80.45,0.58,-6.12,-91.28,1.06,-5.65,-84.26,4.41,-2.30,-34.29,21.06,14.35,214.05,***,***,***,1.74,-4.96,-74.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 23,3.55,***,***,***,***,***,***,***,***,***,6.97,3.42,96.20,1.72,-1.83,-51.54,1.98,-1.58,-44.34,2.20,-1.35,-38.05,3.61,0.05,1.49,8.53,4.98,140.12,***,***,***,4.03,0.48,13.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 24,12.28,***,***,***,***,***,***,***,***,***,24.39,12.11,98.61,1.52,-10.76,-87.60,3.30,-8.98,-73.14,1.14,-11.14,-90.72,1.46,-10.82,-88.09,43.42,31.14,253.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 25,0.84,1.05,0.21,25.64,***,***,***,***,***,***,1.58,0.75,88.91,0.51,-0.33,-39.26,5.08,4.24,505.50,5.08,4.24,505.48,4.85,4.01,478.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 30,3.22,***,***,***,***,***,***,***,***,***,5.53,2.31,71.77,2.80,-0.42,-13.02,3.04,-0.18,-5.61,3.66,0.44,13.73,2.85,-0.37,-11.58,5.00,1.78,55.33,***,***,***,12.22,9.01,279.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 03,0.00,***,***,***,***,***,***,***,***,***,0.61,0.61,***,0.00,0.00,0.00,0.15,0.15,***,0.15,0.15,***,0.00,0.00,0.00,***,***,***,***,***,***,0.62,0.62,***,0.41,0.41,***,0.41,0.41,***,0.34,0.34,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 04,0.00,***,***,***,***,***,***,***,***,***,0.15,0.15,***,0.65,0.65,***,0.15,0.15,***,0.12,0.12,***,0.15,0.15,***,***,***,***,***,***,***,0.15,0.15,***,0.15,0.15,***,0.11,0.11,***,0.11,0.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
