ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIEN 14,1.00,2.67,1.67,166.31,***,***,***,***,***,***,2.67,1.67,166.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 16,2.04,4.06,2.02,99.04,2.71,0.68,33.17,***,***,***,4.41,2.37,116.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 17,2.33,5.99,3.66,157.04,***,***,***,***,***,***,1.32,-1.01,-43.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 11,2.30,2.59,0.29,12.50,***,***,***,***,***,***,1.73,-0.58,-25.00,0.00,-2.30,-100.00,0.29,-2.02,-87.50,0.58,-1.73,-75.00,0.58,-1.73,-75.00,0.29,-2.02,-87.50,***,***,***,0.00,-2.30,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 14,0.58,***,***,***,***,***,***,***,***,***,0.29,-0.29,-50.00,0.00,-0.58,-100.00,0.00,-0.58,-100.00,0.00,-0.58,-100.00,4.08,3.51,608.76,3.50,2.93,508.22,***,***,***,4.04,3.47,601.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 23,1.44,***,***,***,***,***,***,***,***,***,1.15,-0.29,-20.00,0.86,-0.58,-40.01,0.86,-0.58,-40.01,0.29,-1.15,-80.01,0.00,-1.44,-100.00,1.15,-0.29,-20.01,***,***,***,0.86,-0.58,-40.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 24,0.88,***,***,***,***,***,***,***,***,***,0.88,0.00,0.00,0.30,-0.58,-66.26,0.30,-0.58,-66.26,0.30,-0.58,-66.26,0.59,-0.29,-32.73,3.83,2.95,336.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 25,0.87,0.58,-0.29,-33.33,***,***,***,***,***,***,0.87,0.00,0.00,0.58,-0.29,-33.33,0.58,-0.29,-33.33,0.87,0.00,0.00,0.87,0.00,-0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 30,0.58,***,***,***,***,***,***,***,***,***,3.75,3.17,550.09,0.58,0.00,0.00,0.58,0.00,0.00,0.29,-0.29,-49.98,0.29,-0.29,-49.98,4.03,3.46,600.11,***,***,***,0.58,0.00,-0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO 03,1.20,***,***,***,***,***,***,***,***,***,1.20,0.00,0.04,0.60,-0.60,-49.97,0.90,-0.30,-24.97,0.90,-0.30,-24.97,0.90,-0.30,-24.99,***,***,***,***,***,***,0.60,-0.60,-49.99,0.90,-0.30,-24.97,0.90,-0.30,-25.01,0.90,-0.30,-24.99,0.60,-0.60,-50.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
