ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
MG2 Plot 15,1.25,0.94,-0.31,-25.00,1.56,0.31,25.00,2.19,0.94,75.00,2.19,0.94,75.00,2.19,0.94,75.00,2.50,1.25,100.00,***,***,***,***,***,***,0.63,-0.63,-50.00,1.25,0.00,0.00,2.50,1.25,100.00,***,***,***,***,***,***,***,***,***,0.31,-0.94,-75.00
MG2 Plot 16,5.18,2.13,-3.05,-58.82,0.00,-5.18,-100.00,0.00,-5.18,-100.00,0.00,-5.18,-100.00,0.30,-4.87,-94.12,0.91,-4.27,-82.35,***,***,***,***,***,***,0.30,-4.87,-94.12,1.22,-3.96,-76.47,4.57,-0.61,-11.76,***,***,***,***,***,***,***,***,***,4.27,-0.91,-17.65
MG2 Plot 17,4.29,5.51,1.23,28.57,0.00,-4.29,-100.00,0.31,-3.98,-92.86,0.61,-3.68,-85.71,0.92,-3.37,-78.57,0.31,-3.98,-92.86,***,***,***,***,***,***,0.00,-4.29,-100.00,0.00,-4.29,-100.00,0.00,-4.29,-100.00,***,***,***,***,***,***,***,***,***,2.14,-2.14,-50.00
MG2 Plot 18,1.82,2.43,0.61,33.33,0.30,-1.52,-83.33,0.61,-1.22,-66.67,0.61,-1.22,-66.67,1.22,-0.61,-33.33,1.52,-0.30,-16.67,***,***,***,***,***,***,0.00,-1.82,-100.00,0.00,-1.82,-100.00,0.31,-1.51,-83.00,***,***,***,***,***,***,***,***,***,0.62,-1.20,-66.01
MG2 Plot 19,5.48,5.79,0.30,5.56,0.00,-5.48,-100.00,0.00,-5.48,-100.00,0.30,-5.18,-94.44,0.91,-4.57,-83.33,0.61,-4.87,-88.89,***,***,***,***,***,***,1.22,-4.27,-77.78,3.05,-2.44,-44.44,2.44,-3.05,-55.56,***,***,***,***,***,***,***,***,***,1.83,-3.66,-66.67
MG2 Plot 2,2.74,3.96,1.22,44.44,0.91,-1.83,-66.67,0.30,-2.43,-88.89,0.91,-1.83,-66.67,0.91,-1.83,-66.67,2.43,-0.30,-11.11,***,***,***,***,***,***,0.00,-2.74,-100.00,0.00,-2.74,-100.00,0.00,-2.74,-100.00,***,***,***,***,***,***,***,***,***,3.96,1.22,44.44
MG2 Plot 20,2.14,0.00,-2.14,-100.00,0.00,-2.14,-100.00,0.00,-2.14,-100.00,0.31,-1.83,-85.71,0.31,-1.83,-85.71,0.61,-1.53,-71.43,***,***,***,***,***,***,0.00,-2.14,-100.00,0.31,-1.83,-85.71,1.83,-0.31,-14.29,***,***,***,***,***,***,***,***,***,0.00,-2.14,-100.00
MG2 Plot 3,0.61,0.91,0.30,50.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00,0.30,-0.30,-50.00,0.91,0.30,50.00,1.82,1.22,200.00,***,***,***,***,***,***,0.00,-0.61,-100.00,0.00,-0.61,-100.00,0.00,-0.61,-100.00,***,***,***,***,***,***,***,***,***,0.61,0.00,0.00
MG2 Plot 4,3.05,0.61,-2.44,-80.00,0.00,-3.05,-100.00,0.30,-2.74,-90.00,0.30,-2.74,-90.00,1.22,-1.83,-60.00,3.35,0.30,10.00,***,***,***,***,***,***,0.61,-2.44,-80.00,1.52,-1.52,-50.00,0.30,-2.74,-90.00,***,***,***,***,***,***,***,***,***,0.00,-3.05,-100.00
MG2 Plot 5,1.84,0.61,-1.23,-66.67,0.00,-1.84,-100.00,0.00,-1.84,-100.00,0.31,-1.53,-83.33,1.53,-0.31,-16.67,2.14,0.31,16.67,***,***,***,***,***,***,0.31,-1.53,-83.33,0.00,-1.84,-100.00,2.14,0.31,16.67,***,***,***,***,***,***,***,***,***,0.92,-0.92,-50.00
MG2 Plot 6,3.98,0.61,-3.37,-84.62,0.00,-3.98,-100.00,0.00,-3.98,-100.00,0.00,-3.98,-100.00,0.61,-3.37,-84.62,0.92,-3.06,-76.92,***,***,***,***,***,***,0.61,-3.37,-84.62,0.61,-3.37,-84.62,0.00,-3.98,-100.00,***,***,***,***,***,***,***,***,***,0.92,-3.06,-76.92
MG2 Plot 7,2.44,0.00,-2.44,-100.00,0.00,-2.44,-100.00,0.00,-2.44,-100.00,0.00,-2.44,-100.00,0.30,-2.13,-87.50,0.30,-2.13,-87.50,***,***,***,***,***,***,0.00,-2.44,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 8,3.08,2.46,-0.62,-20.00,0.00,-3.08,-100.00,1.23,-1.85,-60.00,1.23,-1.85,-60.00,1.23,-1.85,-60.00,3.08,0.00,0.00,***,***,***,***,***,***,0.31,-2.77,-90.00,0.62,-2.46,-80.00,2.46,-0.62,-20.00,***,***,***,***,***,***,***,***,***,1.23,-1.85,-60.00
MG2 Plot 9,2.15,0.31,-1.84,-85.71,0.00,-2.15,-100.00,0.61,-1.54,-71.43,0.61,-1.54,-71.43,0.92,-1.23,-57.14,0.61,-1.54,-71.43,***,***,***,***,***,***,0.31,-1.84,-85.71,1.23,-0.92,-42.86,0.92,-1.23,-57.14,***,***,***,***,***,***,***,***,***,0.31,-1.84,-85.71
MG4 Plot 1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.52,***,***,0.00,***,***,0.30,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.53,***,***,1.23,***,***,0.00,***,***,0.31,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.51,***,***,0.00,***,***,0.31,***,***,0.94,***,***,1.57,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.25,***,***,0.31,***,***,0.00,***,***,0.31,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.00,***,***,0.31,***,***,0.31,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.63,***,***,0.32,***,***,0.00,***,***,0.32,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.93,***,***,0.31,***,***,0.00,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.46,***,***,0.31,***,***,0.31,***,***,0.31,***,***,2.15,***,***,***,***,***,***,***,***,***,***,***
ASPEN VALLEY,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.08,***,***,***,***,***,0.53,***,***,***,***,***
Mean,2.01,2.23,-0.23,-11.23,0.31,1.70,84.79,0.41,1.60,79.62,0.48,1.53,76.32,0.98,1.03,51.16,1.73,0.28,13.84,1.29,0.72,35.79,1.18,0.83,41.44,0.65,1.36,67.63,0.92,1.09,54.06,0.91,1.09,54.47,1.00,1.01,50.29,0.30,1.70,84.84,0.53,1.48,73.75,1.60,0.41,20.53
