ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
MG2 Plot 4,8.73,1.46,-7.28,-83.33,0.00,-8.73,-100.00,0.00,-8.73,-100.00,0.00,-8.73,-100.00,0.00,-8.73,-100.00,0.00,-8.73,-100.00,***,***,***,***,***,***,0.00,-8.73,-100.00,1.46,-7.28,-83.33,0.00,-8.73,-100.00,***,***,***,***,***,***,***,***,***,0.00,-8.73,-100.00
MG2 Plot 5,1.46,4.39,2.93,200.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,***,***,***,***,***,***,0.00,-1.46,-100.00,0.00,-1.46,-100.00,0.00,-1.46,-100.00,***,***,***,***,***,***,***,***,***,2.93,1.46,100.00
MG2 Plot 6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46,1.46,***,0.00,0.00,0.00,1.46,1.46,***,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
MG2 Plot 7,2.91,0.00,-2.91,-100.00,0.00,-2.91,-100.00,0.00,-2.91,-100.00,0.00,-2.91,-100.00,0.00,-2.91,-100.00,0.00,-2.91,-100.00,***,***,***,***,***,***,0.00,-2.91,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 8,4.41,2.94,-1.47,-33.33,0.00,-4.41,-100.00,0.00,-4.41,-100.00,0.00,-4.41,-100.00,0.00,-4.41,-100.00,0.00,-4.41,-100.00,***,***,***,***,***,***,0.00,-4.41,-100.00,0.00,-4.41,-100.00,0.00,-4.41,-100.00,***,***,***,***,***,***,***,***,***,4.41,0.00,0.00
MG2 Plot 9,0.00,8.80,8.80,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,4.40,4.40,***,4.40,4.40,***,4.40,4.40,***,***,***,***,***,***,***,***,***,***,2.93,2.93,***
MG4 Plot 1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.45,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.46,***,***,1.46,***,***,2.93,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.50,***,***,2.99,***,***,2.99,***,***,4.49,***,***,1.50,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.47,***,***,2.98,***,***,1.49,***,***,2.98,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.50,***,***,1.50,***,***,0.00,***,***,1.50,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.02,***,***,0.00,***,***,1.51,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.47,***,***,1.47,***,***,0.00,***,***,1.47,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.41,***,***,0.00,***,***,0.00,***,***,4.41,***,***,2.94,***,***,***,***,***,***,***,***,***,***,***
ASPEN VALLEY,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.45,***,***,***,***,***,1.41,***,***,***,***,***
Mean,2.72,3.12,-0.40,-14.85,0.51,2.21,81.32,0.65,2.07,76.16,0.44,2.28,83.97,0.44,2.28,83.88,0.66,2.06,75.79,1.41,1.30,47.93,2.61,0.11,3.99,1.14,1.57,58.01,1.39,1.33,48.93,1.94,0.78,28.66,1.16,1.56,57.40,1.45,1.26,46.42,1.41,1.31,48.08,1.71,1.00,37.00
