ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 8,0.10,0.67,0.57,583.33,0.19,0.10,100.00,0.15,0.05,50.00,0.23,0.13,133.33,***,***,***,***,***,***,0.28,0.18,183.33,0.15,0.05,50.00,0.28,0.18,183.33,0.16,0.06,66.67,0.19,0.09,96.52,0.19,0.09,96.52,***,***,***,***,***,***,***,***,***
BCREEK 9,0.00,0.02,0.02,***,0.00,0.00,0.00,0.03,0.03,***,0.02,0.02,***,***,***,***,***,***,***,0.13,0.13,***,0.16,0.16,***,0.05,0.05,***,0.00,0.00,0.00,0.11,0.11,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
MG2 Plot 1,0.37,1.18,0.82,221.74,0.43,0.06,17.39,0.37,0.00,0.00,0.29,-0.08,-21.74,0.51,0.14,39.13,0.88,0.51,139.13,***,***,***,***,***,***,0.03,-0.34,-91.30,0.00,-0.37,-100.00,0.27,-0.10,-26.09,***,***,***,***,***,***,***,***,***,0.22,-0.14,-39.13
MG2 Plot 10,2.53,0.00,-2.53,-100.00,0.00,-2.53,-100.00,0.05,-2.48,-98.10,0.37,-2.16,-85.44,0.86,-1.66,-65.82,1.76,-0.77,-30.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 11,0.59,0.10,-0.50,-83.78,0.05,-0.54,-91.89,0.02,-0.57,-97.30,0.18,-0.42,-70.27,0.50,-0.10,-16.22,0.59,0.00,0.00,***,***,***,***,***,***,0.00,-0.59,-100.00,0.02,-0.57,-97.30,0.05,-0.54,-91.89,***,***,***,***,***,***,***,***,***,0.19,-0.40,-67.57
MG2 Plot 12,0.30,0.19,-0.11,-36.84,0.11,-0.19,-63.16,0.08,-0.22,-73.68,0.24,-0.06,-21.05,0.43,0.13,42.11,0.38,0.08,26.32,***,***,***,***,***,***,0.00,-0.30,-100.00,0.02,-0.29,-94.74,0.03,-0.27,-89.47,***,***,***,***,***,***,***,***,***,0.14,-0.16,-52.63
MG2 Plot 13,0.13,0.10,-0.03,-25.00,0.42,0.29,225.00,0.19,0.06,50.00,0.31,0.18,137.50,0.34,0.21,162.50,0.43,0.31,237.50,***,***,***,***,***,***,0.00,-0.13,-100.00,0.27,0.14,112.50,0.10,-0.03,-25.00,***,***,***,***,***,***,***,***,***,0.13,0.00,0.00
MG2 Plot 14,0.06,0.67,0.60,950.00,0.00,-0.06,-100.00,0.02,-0.05,-75.00,0.00,-0.06,-100.00,0.25,0.19,300.00,0.24,0.17,275.00,***,***,***,***,***,***,0.95,0.89,1400.00,0.29,0.22,350.00,0.30,0.24,375.00,***,***,***,***,***,***,***,***,***,0.22,0.16,250.00
MG2 Plot 15,0.41,0.08,-0.33,-80.00,0.25,-0.16,-40.00,0.13,-0.28,-68.00,0.20,-0.21,-52.00,0.28,-0.13,-32.00,0.18,-0.23,-56.00,***,***,***,***,***,***,0.15,-0.26,-64.00,0.08,-0.33,-80.00,0.08,-0.33,-80.00,***,***,***,***,***,***,***,***,***,0.13,-0.28,-68.00
MG2 Plot 16,0.46,0.21,-0.25,-55.17,0.00,-0.46,-100.00,0.00,-0.46,-100.00,0.10,-0.37,-79.31,0.18,-0.29,-62.07,0.14,-0.32,-68.97,***,***,***,***,***,***,0.06,-0.40,-86.21,0.35,-0.11,-24.14,0.56,0.10,20.69,***,***,***,***,***,***,***,***,***,0.38,-0.08,-17.24
MG2 Plot 17,0.77,1.20,0.43,56.25,0.00,-0.77,-100.00,0.06,-0.70,-91.67,0.19,-0.58,-75.00,0.34,-0.43,-56.25,0.27,-0.50,-64.58,***,***,***,***,***,***,0.00,-0.77,-100.00,0.03,-0.74,-95.83,0.16,-0.61,-79.17,***,***,***,***,***,***,***,***,***,0.24,-0.53,-68.75
MG2 Plot 18,0.24,0.24,0.00,0.00,0.02,-0.22,-93.33,0.21,-0.03,-13.33,0.32,0.08,33.33,1.18,0.94,393.33,1.27,1.03,433.33,***,***,***,***,***,***,0.02,-0.22,-93.33,0.05,-0.19,-80.00,0.11,-0.12,-52.41,***,***,***,***,***,***,***,***,***,0.28,0.04,15.58
MG2 Plot 19,0.51,1.31,0.80,156.25,0.00,-0.51,-100.00,0.06,-0.45,-87.50,0.19,-0.32,-62.50,0.37,-0.14,-28.12,0.60,0.10,18.75,***,***,***,***,***,***,0.19,-0.32,-62.50,0.22,-0.29,-56.25,0.08,-0.43,-84.38,***,***,***,***,***,***,***,***,***,0.53,0.02,3.13
MG2 Plot 2,0.24,0.65,0.41,173.33,0.00,-0.24,-100.00,0.10,-0.14,-60.00,0.03,-0.21,-86.67,0.62,0.38,160.00,1.24,1.00,420.00,***,***,***,***,***,***,0.00,-0.24,-100.00,0.00,-0.24,-100.00,0.08,-0.16,-66.67,***,***,***,***,***,***,***,***,***,0.22,-0.02,-6.67
MG2 Plot 20,0.11,0.00,-0.11,-100.00,0.00,-0.11,-100.00,0.10,-0.02,-14.29,0.19,0.08,71.43,0.11,0.00,0.00,0.19,0.08,71.43,***,***,***,***,***,***,0.00,-0.11,-100.00,0.06,-0.05,-42.86,0.06,-0.05,-42.86,***,***,***,***,***,***,***,***,***,0.10,-0.02,-14.29
MG2 Plot 3,0.41,0.00,-0.41,-100.00,0.00,-0.41,-100.00,0.06,-0.35,-84.62,0.25,-0.16,-38.46,0.54,0.13,30.77,0.67,0.25,61.54,***,***,***,***,***,***,0.00,-0.41,-100.00,0.00,-0.41,-100.00,0.03,-0.38,-92.31,***,***,***,***,***,***,***,***,***,0.08,-0.33,-80.77
MG2 Plot 4,0.40,0.11,-0.29,-72.00,0.00,-0.40,-100.00,0.00,-0.40,-100.00,0.11,-0.29,-72.00,0.35,-0.05,-12.00,0.59,0.19,48.00,***,***,***,***,***,***,0.06,-0.33,-84.00,0.10,-0.30,-76.00,0.03,-0.37,-92.00,***,***,***,***,***,***,***,***,***,0.00,-0.40,-100.00
MG2 Plot 5,0.42,0.34,-0.08,-19.23,0.00,-0.42,-100.00,0.00,-0.42,-100.00,0.16,-0.26,-61.54,0.16,-0.26,-61.54,0.32,-0.10,-23.08,***,***,***,***,***,***,0.18,-0.24,-57.69,0.14,-0.27,-65.38,0.43,0.02,3.85,***,***,***,***,***,***,***,***,***,0.08,-0.34,-80.77
MG2 Plot 6,0.18,0.18,0.00,0.00,0.00,-0.18,-100.00,0.00,-0.18,-100.00,0.14,-0.03,-18.18,0.53,0.35,200.00,0.56,0.38,218.18,***,***,***,***,***,***,0.16,-0.02,-9.09,0.18,0.00,0.00,0.16,-0.02,-9.09,***,***,***,***,***,***,***,***,***,0.02,-0.16,-90.91
MG2 Plot 7,0.22,0.00,-0.22,-100.00,0.00,-0.22,-100.00,0.22,0.00,0.00,0.02,-0.21,-92.86,0.00,-0.22,-100.00,0.02,-0.21,-92.86,***,***,***,***,***,***,0.00,-0.22,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 8,0.00,0.03,0.03,***,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,***,0.05,0.05,***,0.00,0.00,0.00,***,***,***,***,***,***,0.02,0.02,***,0.05,0.05,***,0.08,0.08,***,***,***,***,***,***,***,***,***,***,0.13,0.13,***
MG2 Plot 9,0.21,0.16,-0.05,-23.08,0.00,-0.21,-100.00,0.00,-0.21,-100.00,0.19,-0.02,-7.69,0.13,-0.08,-38.46,0.30,0.10,46.15,***,***,***,***,***,***,0.00,-0.21,-100.00,0.02,-0.19,-92.31,0.00,-0.21,-100.00,***,***,***,***,***,***,***,***,***,0.10,-0.11,-53.85
MG4 Plot 1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.10,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.27,***,***,0.19,***,***,0.16,***,***,0.35,***,***,0.26,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.23,***,***,0.08,***,***,0.13,***,***,0.82,***,***,1.44,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.03,***,***,0.02,***,***,0.10,***,***,0.07,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.08,***,***,0.12,***,***,0.08,***,***,0.05,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.20,***,***,0.02,***,***,0.07,***,***,0.31,***,***,0.20,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.15,***,***,0.11,***,***,0.15,***,***,0.16,***,***,***,***,***,***,***,***,***,***,***
MG4 Plot 8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,***,***,0.13,***,***,0.13,***,***,0.26,***,***,0.39,***,***,***,***,***,***,***,***,***,***,***
ASPEN VALLEY,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.06,***,***,***,***,***,0.01,***,***,***,***,***
Mean,0.26,0.31,-0.05,-21.21,0.07,0.19,72.09,0.10,0.16,61.37,0.16,0.10,39.10,0.39,-0.13,-49.64,0.53,-0.27,-106.59,0.18,0.08,29.18,0.14,0.12,46.94,0.08,0.17,67.05,0.11,0.15,57.74,0.14,0.12,45.77,0.15,0.11,41.37,0.03,0.23,87.65,0.01,0.24,94.68,0.18,0.08,31.39
