ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:11,***,0.08,***,***,0.04,***,***,0.02,***,***,***,***,***,0.06,***,***,0.02,***,***,***,***,***,0.02,***,***,***,***,***,0.02,***,***,0.02,***,***,0.01,***,***,***,***,***,0.11,***,***
B:FJUMO1T06:12,***,0.04,***,***,0.00,***,***,0.00,***,***,***,***,***,0.08,***,***,0.07,***,***,0.03,***,***,***,***,***,0.03,***,***,0.02,***,***,0.01,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:13,***,0.05,***,***,0.04,***,***,0.10,***,***,***,***,***,0.04,***,***,0.06,***,***,0.09,***,***,***,***,***,0.08,***,***,0.17,***,***,0.10,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:15,***,0.21,***,***,0.20,***,***,0.17,***,***,***,***,***,0.20,***,***,0.14,***,***,0.35,***,***,0.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:16,***,0.11,***,***,0.05,***,***,0.00,***,***,***,***,***,0.01,***,***,0.08,***,***,0.05,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:17,***,0.12,***,***,0.15,***,***,0.14,***,***,***,***,***,0.06,***,***,0.20,***,***,0.14,***,***,0.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:19,***,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:20,***,0.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_21,***,0.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.10,0.09,0.01,6.83,0.07,0.02,23.61,0.07,0.03,27.83,0.05,0.05,48.30,0.08,0.02,16.73,0.11,-0.02,-16.62,0.13,-0.04,-39.10,0.20,-0.10,-106.33,0.10,0.00,-0.81,0.07,0.02,23.20,0.10,0.00,-1.98,0.09,0.01,10.13,0.12,-0.03,-28.94,0.12,-0.02,-21.91
